,Order ID,Order Date,Shipping Date,Ship Mode,Quantity,Purchasing Price,Planned Sales Price,Discount,Product ID,Customer ID,Product Category,Sub-Category,Product Name,Customer Name,Client Segment,State,Postal Code,Region,Country
0,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,7,31.759,48.86,0.05,10001487,11710,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",,,,,,
1,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,4,4.368,7.28,0.09,10002833,11710,Office Supplies,Art,Newell 322,,,,,,
2,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,6,635.0064,907.152,0.15,10002275,11710,Technology,Phones,Mitel 5320 IP Phone VoIP phone,,,,,,
3,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,3,12.9528,18.504,0.1,10003910,11710,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,,,,,,
4,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,5,74.685,114.9,0.06,10002892,11710,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,,,,,,
5,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,9,1023.7104,1706.1840000000002,0.15,10001539,11710,Furniture,Tables,Chromcraft Rectangular Conference Tables,,,,,,
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,4,501.2832,911.424,0.05,10002033,11710,Technology,Phones,Konftel 250 Conference phone - Charcoal black,,,,,,
7,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,6,399.52799999999996,665.88,0.1,10004186,19075,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",,,,,,
8,CA-2014-167164,2014-05-13,2014-05-15,Second Class,2,38.849999999999994,55.5,0.05,10000107,10270,Office Supplies,Storage,Fellowes Super Stor/Drawer,,,,,,
9,CA-2014-143336,2014-08-27,2014-09-01,Second Class,2,5.992,8.56,0.1,10003056,21925,Office Supplies,Art,Newell 341,,,,,,
10,CA-2014-143336,2014-08-27,2014-09-01,Second Class,3,138.76200000000003,213.48000000000002,0.1,10001949,21925,Technology,Phones,Cisco SPA 501G IP Phone,,,,,,
11,CA-2014-143336,2014-08-27,2014-09-01,Second Class,4,13.632,22.72,0.1,10002215,21925,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",,,,,,
12,CA-2014-146703,2014-10-20,2014-10-25,Second Class,4,127.176,211.96,0.0,10001713,18865,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Patrick O'Donnell,Consumer,Michigan,48185,Central,USA
13,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,8,779.1168,1113.0240000000001,0.0,10002671,11590,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Brendan Sweed,Corporate,Arizona,85234,West,USA
14,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,4,117.5776,167.96800000000002,0.0,10002726,11590,Technology,Phones,netTALK DUO VoIP Telephone Service,Brendan Sweed,Corporate,Arizona,85234,West,USA
15,US-2014-147606,2014-11-26,2014-12-01,Second Class,5,13.51,19.3,0.0,10003194,15745,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Joel Eaton,Consumer,Tennessee,38109,South,USA
16,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,5,8.195,14.9,0.0,10002053,13690,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Duane Noonan,Consumer,California,94122,West,USA
17,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,1,12.834,21.39,0.0,10002370,13690,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",Duane Noonan,Consumer,California,94122,West,USA
18,CA-2014-115259,2014-08-25,2014-08-27,Second Class,14,20.048000000000002,40.096000000000004,0.0,10000621,19960,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",Ryan Crowe,Consumer,Ohio,43229,East,USA
19,CA-2014-115259,2014-08-25,2014-08-27,Second Class,2,2.3600000000000003,4.720000000000001,0.0,10002600,19960,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Ryan Crowe,Consumer,Ohio,43229,East,USA
20,CA-2014-115259,2014-08-25,2014-08-27,Second Class,3,15.584400000000002,23.976000000000003,0.0,10004965,19960,Office Supplies,Paper,Xerox 1921,Ryan Crowe,Consumer,Ohio,43229,East,USA
21,CA-2014-115259,2014-08-25,2014-08-27,Second Class,6,78.27839999999999,130.464,0.0,10002504,19960,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Ryan Crowe,Consumer,Ohio,43229,East,USA
22,US-2014-152030,2014-12-26,2014-12-28,Second Class,3,300.279,600.558,0.0,10004063,10180,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,Alan Dominguez,Home Office,Texas,77041,Central,USA
23,US-2014-134614,2014-09-20,2014-09-25,Standard Class,6,401.50500000000005,617.7,0.0,10004534,19165,Furniture,Tables,Bevis 44 x 96 Conference Tables,Philip Fox,Consumer,Illinois,61701,Central,USA
24,CA-2014-110072,2014-10-22,2014-10-28,Standard Class,4,56.3328,93.888,0.0,10000521,17680,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",Maureen Gastineau,Home Office,Ohio,43055,East,USA
25,CA-2014-104269,2014-03-01,2014-03-06,Second Class,2,320.2976,457.56800000000004,0.07,10004063,13060,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,Dave Brooks,Consumer,Washington,98115,West,USA
26,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,3,4.968,9.936,0.14,10004441,11140,Office Supplies,Art,BIC Brite Liner Highlighters,Becky Martin,Consumer,Texas,78207,Central,USA
27,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,8,5303.9688,8159.951999999999,0.15,10000822,11140,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,Becky Martin,Consumer,Texas,78207,Central,USA
28,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,3,165.55679999999998,275.928,0.1,10000991,11140,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,Becky Martin,Consumer,Texas,78207,Central,USA
29,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,6,22.444799999999997,32.064,0.1,10002656,11140,Office Supplies,Art,Sanford Liquid Accent Highlighters,Becky Martin,Consumer,Texas,78207,Central,USA
30,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,5,115.68699999999998,177.97999999999996,0.06,10002518,11140,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,Becky Martin,Consumer,Texas,78207,Central,USA
31,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,3,86.3856,143.976,0.07,10003931,11140,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,Becky Martin,Consumer,Texas,78207,Central,USA
32,CA-2014-118962,2014-08-05,2014-08-09,Standard Class,3,11.517000000000001,20.94,0.06,10000659,12130,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Chad Sievert,Consumer,California,90004,West,USA
33,CA-2014-118962,2014-08-05,2014-08-09,Standard Class,2,66.576,110.96,0.06,10001144,12130,Office Supplies,Paper,Xerox 1913,Chad Sievert,Consumer,California,90004,West,USA
34,CA-2014-118962,2014-08-05,2014-08-09,Standard Class,7,170.07200000000003,340.14400000000006,0.06,10003817,12130,Furniture,Chairs,"Global Value Steno Chair, Gray",Chad Sievert,Consumer,California,90004,West,USA
35,US-2014-100853,2014-09-14,2014-09-19,Standard Class,2,26.223999999999997,52.44799999999999,0.08,10000891,15400,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Jennifer Braxton,Corporate,Illinois,60623,Central,USA
36,US-2014-100853,2014-09-14,2014-09-19,Standard Class,4,13.104000000000001,20.16,0.08,10003148,15400,Office Supplies,Labels,Avery 51,Jennifer Braxton,Corporate,Illinois,60623,Central,USA
37,CA-2014-166191,2014-12-05,2014-12-09,Second Class,2,14.889600000000002,24.816000000000003,0.13,10003455,13150,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",David Kendrick,Corporate,Illinois,62521,Central,USA
38,CA-2014-166191,2014-12-05,2014-12-09,Second Class,7,224.8092,408.74399999999997,0.15,10004659,13150,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,David Kendrick,Corporate,Illinois,62521,Central,USA
